http://www.w3.org/ns/prov#wasDerivedFrom,http://purl.org/dc/elements/1.1/format,Pollinator Group,Polinator ,Plant,Visitation Rate (visits per hour per plant),Mean Nectar Volume (microlitres),Mean Sugar Concentration (%),Flower Colour,Location,Latitude,Longitude,Source,Title,Plant Native Status,Habitat Type,Successful Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L12,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Anagyris foetida,3.44,21.72,11.13,Yellow,"Badajoz, Spain",38.709524,-7.09419,"Ortega-Olivencia, 2005",First confirmation of a native bird-pollinated plant in Europe.pdf,Native,Mediterranean shrub,Effective Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L13,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus collybita,Anagyris foetida ,2.51,21.72,11.13,Yellow,"Badajoz, Spain",38.709524,-7.09419,"Ortega-Olivencia, 2005",First confirmation of a native bird-pollinated plant in Europe.pdf,Native,Mediterranean shrub,Effective Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L14,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia melanocephala,Anagyris foetida ,3.44,21.72,11.13,Yellow,"Badajoz, Spain",38.709524,-7.09419,"Ortega-Olivencia, 2005",First confirmation of a native bird-pollinated plant in Europe.pdf,Native,Mediterranean shrub,Effective Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L15,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Apiaceae spp.,,,,NA,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,"Legitimate Visit (Pollen found in samples, potential pollination)"
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L16,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Asparagus horridus,,,,Yellow,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit (Observed interaction in community study)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L17,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Asphodelus aestivus,,,,White,Aire; Rei island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Scrubland / rocky slope,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L18,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Azorina vidalii,,,,Pink,Azores Islands,38.7735812,-27.2933906,"Olsen, 2003",Bird Pollination in Madeira Island,Native,Coastal rocky shrub,Potential Pollinator (Observed visiting flowers)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L19,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Azorina vidalii,,,,Pink,Azores Islands,38.7735812,-27.2933906,"Valido, 2010",Pollination on islands: examples from the,Native,Coastal rocky shrub,Potential Pollinator (Observed visiting flowers)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L20,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Azorina vidalii,,9,22,Pink,Azores Islands,38.7735812,-27.2933906,"Olsen, 2012","Pollination, biogeography and phylogeny of oceanic island bellflowers (Campanulaceae)",Native,Coastal slope / volcanic coast,Effective Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L21,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Begonia spp.,,,,,Rua Nova da Igeja Funchal,32.648611,-16.884444,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Ornamental,NA,Legitimate Visit
