http://www.w3.org/ns/prov#wasDerivedFrom,http://purl.org/dc/elements/1.1/format,Pollinator Group,Polinator ,Plant,Visitation Rate (visits per hour per plant),Mean Nectar Volume (microlitres),Mean Sugar Concentration (%),Flower Colour,Location,Latitude,Longitude,Source,Title,Plant Native Status,Habitat Type,Successful Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L59,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Dracunculus muscivorus,,,,Pink,Aire Island,39.801194,4.290528,"Perez-Mellado, 2006",A complex case of interaction between lizard and plants. The dead horse arum (Dracunculus muscivorus) and the Balearic lizard (Podarcis lilfordi),Native,"Rocky, humid areas",Negligible
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L60,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Tarentola delalandii,Dypsis lutescens,,,,Yellow,Tenerife,28.416778,-16.398944,"Koppetsch, 2020","A new record of nectarivory for Tarentola delalandii (Duméril and Bibron, 1836) pollinating the introduced palm Dypsis lutescens (H.Wendl.) Beentje and J.Dransf. (Arecaceae) on Tenerife, Canary Islands",Exotic,Introduced palm setting,Nectarivory/Potential Pollination (Observed feeding on nectar)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L61,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Ecballium elaterium,,,,Yellow,Rei Island,39.887167,4.287222,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Dry disturbed / rocky ground,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L62,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Echeveria atropurpurea,,,,Pink,"Garajau, Santa Cruz",32.637028,-16.851194,"Elvers, 1977","Elvers, I. (1977) Flower-visiting lizards on Madeira",Ornamental,NA,NA
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L63,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Echium candicans,3.83,,,Purple-blue,Madeira,32.690972,-16.801194,"Esposito, 2021","Foraging Behavior and Pollen Transport by Flower Visitors of the Madeira Island Endemic Echium candicans.  AND The pollinator community of the Madeiran endemic Echium candicans: individual-based network metrics, relation with plant traits, and pollinator behaviour.",Native,High-altitude sub-alpine desert or high mountain scrubland ,Potential Pollinator (Observed visiting flowers)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L64,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus collybita,Echium decaisnei ,,NA,10,White,Tenerife,28.416778,-16.398944,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Semidesert,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L65,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia melanocephala,Echium decaisnei ,,NA,10,White,Tenerife,28.416778,-16.398944,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Semidesert,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L66,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia conspicillata,Echium decaisnei ,,NA,10,White,Tenerife,28.416778,-16.398944,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Semidesert,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L67,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Echium nervosum,,,,Purple-blue,Caminho Real do Paul do Mar,32.752361,-17.217167,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Native,Herbaceous shrubland,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L68,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Echium nervosum,,,,Purple-blue,"Garajau, Santa Cruz",32.637028,-16.851194,"Elvers, 1977","Elvers, I. (1977) Flower-visiting lizards on Madeira",Native,Coastal rocky shrub,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L69,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Gallotia galloti,Echium simplex,0.0003,1570,16.91,White,Tenerife,28.416778,-16.398944,"Jaca, 2019",Reproductive success of the Canarian Echium simplex (Boraginaceae) mediated by vertebrates and insects.,Native,Mountainous shrub,Flower Visitation/Nectarivory (Seen lapping nectar; negligible effect on fitness compared to insects/birds)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L70,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Echium simplex,0.011,1570,16.91,White,Tenerife,28.416778,-16.398944,"Jaca, 2019",Reproductive success of the Canarian Echium simplex Boraginaceae mediated by vertebrates.pdf,Native,Scrubland / rocky cliffs,Negligible
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L71,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia melanocephala,Echium simplex,0.011,1570,16.91,White,Tenerife,28.416778,-16.398944,"Jaca, 2019",Reproductive success of the Canarian Echium simplex Boraginaceae mediated by vertebrates.pdf,Native,Scrubland / rocky cliffs,Negligible
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L72,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Cyanistes teneriffae,Echium simplex,0.036,1570,16.91,White,Tenerife,28.416778,-16.398944,"Jaca, 2019",Reproductive success of the Canarian Echium simplex Boraginaceae mediated by vertebrates.pdf,Native,Scrubland / rocky cliffs,Negligible
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L73,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus canariensis,Echium simplex ,0.015,1570,16.91,White,Tenerife,28.416778,-16.398944,"Jaca, 2019",Reproductive success of the Canarian Echium simplex Boraginaceae mediated by vertebrates.pdf,Native,Scrubland / rocky cliffs,Negligible
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L74,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Serinus canarius,Echium simplex ,0.008,1570,16.91,White,Tenerife,28.416778,-16.398944,"Jaca, 2019",Reproductive success of the Canarian Echium simplex Boraginaceae mediated by vertebrates.pdf,Native,Scrubland / rocky cliffs,Negligible
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L75,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Serinus canarius,Echium virescens,2.94,,,Purple,Tenerife,28.416778,-16.398944,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Semidesert,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L76,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Serinus canarius,Echium wildpretii,2.94,21,15,Pink,Tenerife,28.416778,-16.398944,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Subalpine shrub and pine forest,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L77,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Cyanistes caeruleus,Echium wildpretii,,21,15,Pink,Tenerife,28.416778,-16.398944,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Subalpine shrub and pine forest,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L78,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus collybita,Echium wildpretii,0.56,21,15,Pink,Tenerife,28.416778,-16.398944,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Subalpine shrub and pine forest,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L79,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Gallotia galloti,Echium wildpretii,,,,Pink,Tenerife,28.416778,-16.398944,"Valido, 2002","Native birds and insects, and introduced honey bees visiting Echium wildpretii (Boraginaceae) in the Canary Islands",Native,High-altitude sub-alpine desert or high mountain scrubland ,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L80,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus collybita,Echium wildpretii,,,,Pink,Tenerife,28.416778,-16.398944,"Valido, 2002","Native birds and insects, and introduced honey bees visiting Echium wildpretii (Boraginaceae) in the Canary Islands.pdf",Native,Subalpine shrub,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L81,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Serinus canarius,Echium wildpretii ,,,,Pink,Tenerife,28.416778,-16.398944,"Valido, 2002","Native birds and insects, and introduced honey bees visiting Echium wildpretii (Boraginaceae) in the Canary Islands.pdf",Native,Subalpine shrub,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L82,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Ephedra fragilis,0.71,,drops (high Conc.),Pink,"Sa Dragonera Natural Park, Balearic Islands","39.583333,",2.316667,"Fuster, 2019","Evidence for a double mutualistic interaction between a lizard and a Mediterranean gymnosperm, Ephedra fragilis",Native,Mediterranean shrub / Scrubland,Legitimate Visit/Pollination (Pollination via nectar drop; qualitatively contributes to pollination success by increasing germination of small seeds)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L83,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Ephedra fragilis,,,,Pink,"Sa Dragonera Natural Park, Balearic Islands","39.583333,",2.316667,"Celedón-Neghme, 2016",The role of pollination drops in animal pollination in the Mediterranean gymnosperm e. fragilis,Native,Mediterranean shrub,Effective Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L84,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Erodium sp,,,,NA,Aire Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,NA,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L85,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Euphorbia dendroides,5.4,,,Yellow,Cabrera Gran,39.142167,2.945194,"Traveset, 1997",Pollination of Euphorbia dendroides by lizards and insects: Spatio-temporal variation in patterns of flower visitation,Native,Mediterranean shrub / Scrubland,"Effective Pollination (Empirically demonstrated, moves large quantities of pollen)"
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L86,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Tarentola delalandii,Euphorbia lamarckii,,,,Yellow,La Palma,28.585861,-17.848611,"Hernandez-Teixidor, ",First record of geckos visiting flowers in the Palaearctic Ecozone,Native,Scrubland,Flower Visitation / Nectarivory
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L87,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Euphorbia milii,,,,NA,Rua Nova da Igeja Funchal,32.648611,-16.884444,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Ornamental,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L88,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Euphorbia piscatoria,,,,NA,"Porto Novo, Santa Cruz",32.662222,-16.808056,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Native,Herbaceous shrubland,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L89,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Euphorbia pulcherrina,,,,NA,Funchal,32.644667,-16.924417,Beyhl 1991,Beyhl 1990,Ornamental,NA,NA
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L90,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Euphorbia segetalis,,,,Yellow,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit (Observed interaction in community study)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L91,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Euphorbia segetalis,,,,Yellow,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L92,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Euphorbia spp.,,,,NA,Aire; Rei Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,NA,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L93,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Ferula communis,,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L94,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus collybita,Ferula communis,,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L95,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia communis,Ferula communis,,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L96,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia borin,Ferula communis,,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L97,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia melanocephala,Ferula communis,,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L98,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia conspicillata,Ferula communis,,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L99,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia cantillans,Ferula communis,,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L100,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus trochilus,Ferula communis,,,,Yellow,Ventotene Island,40.786667,13.412139,"Cecere, 2011 (b)","Nectar, and energy drink used by European songbirds during migration",Native,Maquis,Potential Pollination
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L101,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Ficus carica,,,,White,"Rua do Lazareto, Funchal",32.647278,-16.890917,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Introduced,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L102,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Foeniculum vulgare,,,,Yellow,Miradouro de S Sebastiao,32.67,-17.062778,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Native,Herbaceous shrubland,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L103,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Foeniculum vulgare,,,,Yellow,Ribeira Brava,32.673,-17.068556,"Szeimer, 2010",Szeimer 2010,Native,Coastal scrub,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L104,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Geranium molle,,,,Purple,Cabrera Gran,39.142167,2.945194,"Romera-Egea, 2023",Assessing the role of lizards as potential pollinators,Native,Insular Plant Community ,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L105,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Geranium rotundifolium,,,,Purple,Aire; Rei Island,39.801194,4.290528,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,Disturbed,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L106,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Gladiolus spp.,,,,,Rua Nova da Igeja Funchal,32.648611,-16.884444,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Ornamental,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L107,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Globularia salicina,,,,Purple-white,"Ribeira do Natal, Canical",32.736778,-16.74325,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Macronesia,Herbaceous shrubland,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L108,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Podarcis lilfordi,Heliotropum sp,,,,NA,Rei Island,39.887167,4.287222,"Peréz-Mellado, 2000","Pollen load and transport by the insular lizard, Podarcis lilfordi (Squamata, Lacertidae) in coastal islets of Menorca (Balearic Islands, Spain)",Native,NA,Potential Pollination (Pollen Grains found on lizard)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L109,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Hibiscus rosa-sinensis,,,,Red,Rua Nova da Igeja Funchal,32.648611,-16.884444,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Ornamental,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L110,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Tarentola delalandii,Hoya kerrii,,,,Pink-white,Tenerife,28.416778,-16.398944,,"Nectarivoría de Tarentola delalandiisobre la planta exótica Hoya kerriien Tenerife, Islas Canarias",Exotic,Garden,Nectarivory
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L111,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Hydrangea macrophylla,,,,Purple,"Sao Vicente and Igreja de Nossa Senhora das Neves, Calherta",32.805278,-17.047083,"Petrovan, 2023",Petrovan 2023,Introduced,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L112,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Hydrangea macrophylla,,,,Purple,"Sao Vicente and Igreja de Nossa Senhora das Neves, Calherta",32.805278,-17.047083,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Introduced,NA,Legitimate Visit
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L113,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus canariensis,Isoplexis canariensis,0.58,24.8,10-29%,Orange,Tenerife,28.416778,-16.398944,"Rodriguez-Rodriguez, 2013",Quantity and quality components of effectiveness in insular pollinator assemblages,Native,Laurel forest,"Legitimate Pollinator (Comparable to birds in qualitative effectiveness, especially adults)"
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L114,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Gallotia galloti,Isoplexis canariensis,0.04,24.8,10-29%,Orange,Tenerife,28.416778,-16.398944,"Rodriguez-Rodriguez, 2013",Quantity and quality components of effectiveness in insular pollinator assemblages,Native,Laurel forest,"Legitimate Pollinator (Comparable to birds in qualitative effectiveness, especially adults)"
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L115,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus collybita,Isoplexis canariensis ,,,,Orange,"Parc Forestal, Anaga, Tenerife",28.534917,-16.277167,"Olsen, 1985",The Macaronesian bird-flower element and its relation to bird and bee opportunists .pdf,Native,Laurel forest (High-altitude),Nectarivory (potential pollination)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L116,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia melanocephala,Isoplexis canariensis ,,,,Orange,"Parc Forestal, Anaga, Tenerife",28.534917,-16.277167,"Olsen, 1985",The Macaronesian bird-flower element and its relation to bird and bee opportunists .pdf,Native,Laurel forest (High-altitude),Nectarivory (potential pollination)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L117,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia conspicillata,Isoplexis canariensis ,,,,Orange,"Parc Forestal, Anaga, Tenerife",28.534917,-16.277167,"Olsen, 1985",The Macaronesian bird-flower element and its relation to bird and bee opportunists .pdf,Native,Laurel forest (High-altitude),Nectarivory (potential pollination)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L118,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Isoplexis canariensis ,,,32.3,Orange,Tenerife,28.416778,-16.398944,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,"Laurel Forest, Pine Forest",Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L119,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Cyanistes caeruleus,Isoplexis canariensis ,,,32.3,Orange,Tenerife,28.416778,-16.398944,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,"Laurel Forest, Pine Forest",Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L120,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus collybita,Isoplexis canariensis ,,,32.3,Orange,Tenerife,28.416778,-16.398944,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,"Laurel Forest, Pine Forest",Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L121,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia melanocephala,Isoplexis canariensis ,,,32.3,Orange,Tenerife,28.416778,-16.398944,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,"Laurel Forest, Pine Forest",Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L122,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus canariensis,Isoplexis canariensis ,,24.8,29.5,Orange,Tenerife,28.416778,-16.398944,"Ollerton, 2008",Bird Pollination of Canary Island endemic plants,Native,Laurel forest,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L123,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus collybita,Isoplexis chalcantha,,14,28.1,Orange,Gran Canaria,39.142167,2.945194,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Laurel Forest,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L124,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Phylloscopus collybita,Isoplexis isabelliana,,,29.1,Orange,Gran Canaria,39.142167,2.945194,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Pine forest,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L125,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia melanocephala,Isoplexis isabelliana,,,29.1,Orange,Gran Canaria,39.142167,2.945194,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Pine forest,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L126,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Isoplexis sceptrum,,37,14.7,Orange,Madeira,32.690972,-16.801194,"Valido, 2004",Bird flower interactions in Macronesian islands,Native,Laurel Forest,Legitimate Visit (Observed)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L127,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Bird,Sylvia atricapilla,Isoplexis sceptrum,,37,14.7,Orange,Madeira,32.690972,-16.801194,"Olsen, 2003",Bird Pollination in Madeira Island,Native,Laurel Forest,Potential Pollination (Observed visitation)
line:xlsx:hash://md5/a145956849e70f1eeae954ee4b4f8f07!/All%20data!/L128,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,Lizard,Teira dugesii,Kalanchoe spp.,,,,NA,Caminho de Ladeira,32.667222,-16.938611,"Camara, 2025",Teira dugesii (Squamata: Lacertidae) visiting flowers: new observations and a review,Ornamental,NA,Legitimate Visit
